[03:01:08:005966 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Bike_QuadBike_Black (ID# <null>) with Cargo [] FOR 1250 POPTABS AND 125 RESPECT | PLAYER TOTAL MONEY: 1250
[03:54:29:590086 +02:00] [Thread 5952] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM: Exile_Car_Octavius_White (ID# <null>) with Cargo ["Exile_Item_InstaDoc","Exile_Item_DuctTape","Exile_Item_DuctTape","Exile_Item_Bandage","Exile_Item_InstaDoc","Exile_Item_Bandage","Exile_Item_InstaDoc","Exile_Item_InstaDoc"] FOR 5900 POPTABS AND 590 RESPECT | PLAYER TOTAL MONEY: 5968
[03:55:46:364477 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_InstantCoffee FOR 20 POPTABS | PLAYER TOTAL MONEY: 280
[03:55:47:384536 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_InstantCoffee FOR 20 POPTABS | PLAYER TOTAL MONEY: 260
[03:55:48:364592 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_InstantCoffee FOR 20 POPTABS | PLAYER TOTAL MONEY: 240
[03:55:49:324647 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_InstantCoffee FOR 20 POPTABS | PLAYER TOTAL MONEY: 220
[03:55:50:324704 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_InstantCoffee FOR 20 POPTABS | PLAYER TOTAL MONEY: 200
[03:57:11:452344 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 186
[03:57:12:352395 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 172
[03:57:13:612468 +02:00] [Thread 4836] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 158
[03:57:14:512519 +02:00] [Thread 4748] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 144
[04:01:28:544049 +02:00] [Thread 5952] PLAYER: ( 76561197995369312 ) R Alpha 1-2:1 (Oliver-Rehrmann) REMOTE SOLD ITEM G_Shades_Red FOR 3 POPTABS AND 0.3 RESPECT | PLAYER TOTAL MONEY: 147
