12.04.2020 00:51:42: TOKEN [j8uzvzutb2tft8tl86c] FOR Thomas Cale(76561198073016657) OWNER: 4, ID: 4.68589e+008, JIP: true
12.04.2020 02:24:23: TOKEN [xqrmjx6cag43p4l] FOR Thomas Cale(76561198073016657) OWNER: 4, ID: 1.74422e+009, JIP: true
12.04.2020 02:25:58: TOKEN [bpkrh86n9xspugls] FOR Thomas Cale(76561198073016657) OWNER: 5, ID: 1.82947e+009, JIP: true
12.04.2020 02:44:12: TOKEN [cd7j7syrxgomrp8a4f] FOR Thomas Cale(76561198073016657) OWNER: 6, ID: 7.79858e+008, JIP: true
12.04.2020 02:44:50: TOKEN [jlkpcnep9pb5q7] FOR Thomas Cale(76561198073016657) OWNER: 7, ID: 8.20032e+008, JIP: true
12.04.2020 03:12:57: TOKEN [p4i05f1gnwmsyshjp] FOR Thomas Cale(76561198073016657) OWNER: 4, ID: 3.57445e+008, JIP: true
12.04.2020 03:15:18: TOKEN [nbfsqlr2i70yhjc5l] FOR Thomas Cale(76561198073016657) OWNER: 6, ID: 4.43849e+008, JIP: true
12.04.2020 03:22:57: TOKEN [mg2ojad402vmysa83] FOR Thomas Cale(76561198073016657) OWNER: 4, ID: 8.92235e+008, JIP: true
12.04.2020 03:25:11: TOKEN [aer5vw1lr47zjoa] FOR Thomas Cale(76561198073016657) OWNER: 5, ID: 1.0358e+009, JIP: true
12.04.2020 04:31:41: TOKEN [oomh7t1n4qirmspj] FOR Thomas Cale(76561198073016657) OWNER: 4, ID: 7.80087e+008, JIP: true
12.04.2020 04:33:13: TOKEN [ktzus3w5nhmdfsvmx7] FOR Thomas Cale(76561198073016657) OWNER: 5, ID: 8.22232e+008, JIP: true
12.04.2020 04:43:35: TOKEN [shgg6xpjmyjxby9o9v] FOR Thomas Cale(76561198073016657) OWNER: 6, ID: 1.44366e+009, JIP: true
